Species;Guild;Dja;Lope;Lukuru_;Makakou;Makande;Mondika;Monte_Alen;Nyungwe;Odzala;Rio_Muni;Salonga
Allenopithecus_nigrivirtus;Fruit;0;0;0;0;0;0;0;0;0;0;1
Cercopithecus_hamlyni;Fruit;0;0;0;0;0;0;0;1;0;0;0
Cercopithecus_lhoesti;Fruit;0;0;0;0;0;0;0;1;0;0;0
Cercopithecus_mitis;Fruit;0;0;0;0;0;0;0;1;0;0;0
Cercopithecus_solatus;Fruit;0;0;0;0;1;0;0;0;0;0;0
Lophocebus_aterrimus;Fruit;0;0;1;0;0;0;0;0;0;0;0
Papio_hamadryas;Fruit;0;0;0;0;0;0;0;1;0;0;0
Cercocebus_torquatus;Fruit;0;0;0;0;0;0;1;0;0;1;0
Pan_paniscus;Fruit;0;0;1;0;0;0;0;0;0;0;1
Cercopithecus_ascanius;Fruit;0;0;1;0;0;0;0;1;0;0;1
Cercopithecus_wolfi;Fruit;0;0;1;0;0;0;0;1;0;0;1
Cercocebus_agilis;Fruit;1;0;0;1;0;1;0;0;1;0;0
Mandrillus_sphinx;Fruit;0;1;0;1;1;0;1;0;0;1;0
Cercopithecus_neglectus;Fruit;1;0;1;1;0;1;1;0;1;1;0
Cercopithecus_cephus;Fruit;1;1;0;1;1;1;1;0;1;1;0
Cercopithecus_nictitans;Fruit;1;1;0;1;1;1;1;0;1;1;0
Cercopithecus_pogonias;Fruit;1;1;0;1;1;1;1;0;1;1;0
Pan_troglodytes;Fruit;1;1;0;1;1;1;1;1;1;1;0
Lophocebus_alibgena;Fruit;1;1;0;1;1;1;1;1;1;1;1
Perodicticus_potto;Fruit;1;1;1;1;1;1;1;1;1;1;1
Galago_inustus;Insects;0;0;0;0;0;0;0;1;0;0;0
Otolemur_crassicaudatus;Insects;0;0;0;0;0;0;0;1;0;0;0
Galago_alleni;Insects;1;1;0;1;1;0;1;0;0;1;0
Arctocebus_aureus;Insects;1;1;0;1;1;1;1;0;1;1;0
Euoticus_elegantulus;Insects;1;1;0;1;1;1;1;0;1;1;0
Galagoides_demidovii;Insects;1;1;1;1;1;1;1;1;1;1;1
Galagoides_thomasi;Insects;1;1;1;1;1;1;1;1;1;1;1
Colobus_angolensis;Leaves;0;0;1;0;0;0;0;1;0;0;1
Procolobus_badius;Leaves;0;0;1;0;0;1;0;0;0;0;1
Colobus_guereza;Leaves;1;0;0;1;0;1;0;0;1;0;0
Colobus_satanas;Leaves;0;1;0;0;1;0;1;0;0;1;0
Gorilla_gorilla;Leaves;1;1;0;1;1;1;1;0;1;1;0
